"level3_pathway_name","Dark1mean","Dark2mean","Dark3mean","Yellow1mean","Yellow2mean","Yellow3mean","pvalue_Yellow","YvsD_SubCell_dgi","Yellow"
"Adherens junction",0.941677,0.435954,0.64334,18.721076,21.948632,1.984097,0.159973813047177,12.2015316600279,34.5292893333333
"Amoebiasis",0.941677,0.435954,0.64334,18.721076,21.948632,1.984097,0.159973813047177,17.411923476842,18.964733
"Apoptosis - fly",0.6566955,0.652809,0.6370785,15.6033,19.641627,2.1417785,0.155173292830749,19.2063248780042,12.4622351666667
"Central carbon metabolism in cancer",0.941962,0.512773,0.678158,13.52286,15.561003,1.688525,0.157869946008445,16.0449786129327,24.3449826923077
"Chaperones and folding catalysts",2.37952884615385,1.08170984615385,1.09064946153846,37.3398436923077,31.0525363076923,4.64256807692308,0.150066429339703,14.9473104477267,12.5025333333333
"Citrate cycle (TCA cycle)",0.7651224,0.4276078,0.5385252,16.9874944,18.9668542,1.9996846,0.152861118036864,9.98985214055169,10.062182
"Drug metabolism - other enzymes",0.804005,0.363406,1.545608,18.81156,20.73962,2.627716,0.148618198252427,16.44136930427,16.6126993333333
"Glyoxylate and dicarboxylate metabolism",0.675568333333333,0.300404333333333,0.590803666666667,10.983053,12.8928386666667,1.54751766666667,0.151364347731138,26.1891904198255,27.9912453333333
"Longevity regulating pathway",0.793073,0.567636,0.677902,18.433318,15.009973,2.212254,0.15121629589233,10.472453359656,29.1189986666667
"MAPK signaling pathway - plant",0.804005,0.363406,1.545608,18.81156,20.73962,2.627716,0.148618198252427,15.1464432718419,23.1430197777778
"Messenger RNA biogenesis",4.42061428571429,2.048011,2.26463914285714,53.3254268571429,53.0826527142857,6.72476342857143,0.153448372035903,12.5612062411823,24.4955561851852
"Mitochondrial biogenesis",2.833382,1.36677466666667,1.65013088888889,36.0945071111111,32.6988738888889,4.69328755555556,0.151389674462727,16.1193554225875,27.2452494
"Peroxisome",0.8675175,0.5402045,0.67803,15.978089,15.285488,1.9503895,0.150865076463142,20.4321033444258,30.941165
"Photosynthesis",1.932569,0.541236,1.526016,22.400361,24.862476,3.126327,0.152853374709313,12.5978547540002,16.796388
"Photosynthesis proteins",1.932569,0.541236,1.526016,22.400361,24.862476,3.126327,0.152853374709313,18.2523892545526,15.9758235
"Proximal tubule bicarbonate reclamation",0.9901765,0.5485915,0.512402,18.7284655,22.417606,2.1524635,0.15803133234405,30.646250348662,15.1743921111111
"Purine metabolism",0.804005,0.363406,1.545608,18.81156,20.73962,2.627716,0.148618198252427,11.1088552922477,25.030856
"Pyrimidine metabolism",0.804005,0.363406,1.545608,18.81156,20.73962,2.627716,0.148618198252427,16.9419082983668,19.549604
"Pyruvate metabolism",0.564559,0.460973,0.459908333333333,20.037297,23.1615923333333,2.324287,0.152022619702079,9.98985214055169,10.062182
"RNA degradation",4.089963,1.6222865,1.047454,41.74569925,26.8720125,6.47485625,0.154645848515114,18.5339130789674,16.0835367083333
"Systemic lupus erythematosus",0.941677,0.435954,0.64334,18.721076,21.948632,1.984097,0.159973813047177,14.88118175515,12.6215209333333
