sourcettargettweighttcorrelationtbetweenness_centrality
fliC, hag (g_05066)tfliI (g_10722)t0.942857142857143t0.942857142857143t3.28174898073278
fliC, hag (g_05066)tmotB (g_19622)t1t1t1
fliC, hag (g_05066)tmcp (g_23781)t0.885714285714286t0.885714285714286t1.37649572649573
fliC, hag (g_05066)tfliC, hag (g_27535)t0.885714285714286t0.885714285714286t3.28675213675214
fliC, hag (g_05066)tcheV (g_33340)t0.942857142857143t0.942857142857143t3.28174898073278
fliC, hag (g_05066)tfliC, hag (g_50142)t0.885714285714286t0.885714285714286t1.73160173160173
fliC, hag (g_05066)txylS, yicI (g_02228)t0.942857142857143t0.942857142857143t4.59636477385009
fliC, hag (g_05066)tzntA (g_17469)t0.942857142857143t0.942857142857143t2.21610482720534
fliC, hag (g_05066)tapbE (g_23268)t0.942857142857143t0.942857142857143t4.59636477385009
fliC, hag (g_05066)ttatD (g_23444)t0.942857142857143t0.942857142857143t2.21610482720534
fliC, hag (g_05066)tfpr (g_37904)t0.942857142857143t0.942857142857143t4.59636477385009
fliC, hag (g_05066)tfabB (g_10470)t0.885714285714286t0.885714285714286t1.42857142857143
fliC, hag (g_05066)taccD (g_27314)t1t1t1
fliC, hag (g_05066)tGST, gst (g_29251)t0.828571428571429t0.828571428571429t7.00585880715212
fliC, hag (g_05066)tSOD2 (g_41985)t0.828571428571429t0.828571428571429t5.93163440793351
fliC, hag (g_05066)trecA (g_12311)t0.885714285714286t0.885714285714286t1.42857142857143
fliC, hag (g_05066)tdnaE (g_35791)t0.942857142857143t0.942857142857143t2.21610482720534
fliC, hag (g_05066)tpolA (g_37755)t1t1t1
fliC, hag (g_05066)trecB (g_39689)t0.942857142857143t0.942857142857143t4.59636477385009
fliC, hag (g_05066)tCYTB, petB (g_26961)t0.828571428571429t0.828571428571429t7.00585880715212
fliC, hag (g_05066)tALDH (g_34836)t0.828571428571429t0.828571428571429t7.00585880715212
fliC, hag (g_05066)tgmhB (g_19549)t0.942857142857143t0.942857142857143t2.21610482720534
fliC, hag (g_05066)twaaL, rfaL (g_21270)t0.885714285714286t0.885714285714286t1.73160173160173
fliC, hag (g_05066)tkdsC (g_31164)t0.885714285714286t0.885714285714286t1.42857142857143
fliC, hag (g_05066)trfbC (g_56307)t1t1t1
fliC, hag (g_05066)tdapB (g_00438)t0.828571428571429t0.828571428571429t7.00585880715212
fliC, hag (g_05066)thom (g_03176)t0.942857142857143t0.942857142857143t3.28174898073278
fliC, hag (g_05066)tmurEF (g_16221)t0.885714285714286t0.885714285714286t1.73160173160173
fliC, hag (g_05066)tdapA (g_47987)t0.828571428571429t0.828571428571429t5.93163440793351
fliC, hag (g_05066)tE6.5.1.2, ligA, ligB (g_14457)t0.942857142857143t0.942857142857143t4.59636477385009
fliC, hag (g_05066)tLARS, leuS (g_16779)t0.885714285714286t0.885714285714286t1.42857142857143
fliC, hag (g_05066)tgabD (g_10281)t0.828571428571429t0.828571428571429t7.00585880715212
fliC, hag (g_05066)tpncC (g_35739)t1t1t1
fliC, hag (g_05066)trne (g_00204)t0.828571428571429t0.828571428571429t5.93163440793351
fliC, hag (g_05066)trsmB, sun (g_10137)t0.942857142857143t0.942857142857143t2.21610482720534
fliC, hag (g_05066)ttatC (g_07029)t0.885714285714286t0.885714285714286t3.28675213675214
fliC, hag (g_05066)tlapB (g_13632)t0.885714285714286t0.885714285714286t3.28675213675214
fliC, hag (g_05066)ttolC, bepC, cyaE, raxC, sapF, rsaF, hasF (g_23577)t0.885714285714286t0.885714285714286t1.42857142857143
fliC, hag (g_05066)tyggT (g_26647)t0.885714285714286t0.885714285714286t1.42857142857143
fliM (g_06237)tfliI (g_10722)t0.828571428571429t0.828571428571429t12.2235976540743
fliM (g_06237)tflhB (g_14330)t1t1t1
fliM (g_06237)tfliC, hag (g_14403)t0.828571428571429t0.828571428571429t9.22729437873368
fliM (g_06237)tpilA (g_20098)t0.885714285714286t0.885714285714286t1.96697191697192
fliM (g_06237)tmcp (g_23781)t0.942857142857143t0.942857142857143t5.75516820344406
fliM (g_06237)tcheV (g_33340)t0.828571428571429t0.828571428571429t12.2235976540743
fliM (g_06237)tmotA (g_35105)t0.942857142857143t0.942857142857143t10.8331365377917
fliM (g_06237)tpilA (g_52123)t0.828571428571429t0.828571428571429t6.19164498956081
fliM (g_06237)txylS, yicI (g_02228)t0.885714285714286t0.885714285714286t2.39995908346972
fliM (g_06237)tfpr (g_22259)t0.885714285714286t0.885714285714286t1.96697191697192
fliM (g_06237)tapbE (g_23268)t0.885714285714286t0.885714285714286t2.39995908346972
fliM (g_06237)tfpr (g_37904)t0.885714285714286t0.885714285714286t2.39995908346972
fliM (g_06237)targG, ASS1 (g_22971)t0.885714285714286t0.885714285714286t1.96697191697192
fliM (g_06237)trecC (g_02713)t0.828571428571429t0.828571428571429t6.19164498956081
fliM (g_06237)tdnaX (g_15106)t1t1t1
fliM (g_06237)trecB (g_39689)t0.885714285714286t0.885714285714286t2.39995908346972
fliM (g_06237)thom (g_03176)t0.828571428571429t0.828571428571429t12.2235976540743
fliM (g_06237)tE6.5.1.2, ligA, ligB (g_14457)t0.885714285714286t0.885714285714286t2.39995908346972
fliM (g_06237)tmutS (g_50943)t0.828571428571429t0.828571428571429t9.22729437873368
fliM (g_06237)ttuf, TUFM (g_50706)t0.828571428571429t0.828571428571429t12.2537878787879
fliM (g_06237)tnadD (g_32901)t0.885714285714286t0.885714285714286t4.08013330072154
fliM (g_06237)tIDH1, IDH2, icd (g_34655)t0.885714285714286t0.885714285714286t2.20030704589528
fliM (g_06237)trluB (g_34744)t0.885714285714286t0.885714285714286t4.08013330072154
fliM (g_06237)trlmI (g_37985)t0.828571428571429t0.828571428571429t9.22729437873368
flhF (g_10542)tfliC, hag (g_14403)t0.885714285714286t0.885714285714286t2.92300872885979
flhF (g_10542)tpilA (g_20098)t0.828571428571429t0.828571428571429t8.04645535941762
flhF (g_10542)tfliC, hag (g_27535)t0.942857142857143t0.942857142857143t3.30702294336248
flhF (g_10542)tpilA (g_52123)t0.885714285714286t0.885714285714286t1.7382326007326
flhF (g_10542)tfliC, hag (g_55742)t1t1t1
flhF (g_10542)txylS, yicI (g_02228)t0.828571428571429t0.828571428571429t7.0911559509934
flhF (g_10542)tapbE (g_08790)t1t1t1
flhF (g_10542)tfpr (g_22259)t0.828571428571429t0.828571428571429t8.04645535941762
flhF (g_10542)tapbE (g_23268)t0.828571428571429t0.828571428571429t7.0911559509934
flhF (g_10542)tE1.11.1.5 (g_37021)t1t1t1
flhF (g_10542)tE1.11.1.5 (g_37045)t0.828571428571429t0.828571428571429t6.83027026152121
flhF (g_10542)tfpr (g_37904)t0.828571428571429t0.828571428571429t7.0911559509934
flhF (g_10542)tfabF, OXSM, CEM1 (g_15086)t0.885714285714286t0.885714285714286t3.19443384587315
flhF (g_10542)targG, ASS1 (g_22971)t0.828571428571429t0.828571428571429t8.04645535941762
flhF (g_10542)trecC (g_02713)t0.885714285714286t0.885714285714286t1.7382326007326
flhF (g_10542)trecB (g_39689)t0.828571428571429t0.828571428571429t7.0911559509934
flhF (g_10542)tE6.5.1.2, ligA, ligB (g_14457)t0.828571428571429t0.828571428571429t7.0911559509934
