"level3_pathway_name","Dark1mean","Dark2mean","Dark3mean","Blue1mean","Blue2mean","Blue3mean","pvalue_Blue","BvsD_SubCell_dgi","Blue"
"Acarbose and validamycin biosynthesis",0.154129,0.996048,2.362481,47.423183,46.129057,53.139148,0.000960775176700708,60.1195234351112,31.1965016666667
"AMPK signaling pathway",2.03533628571429,1.49719,4.97515071428571,214.865653857143,192.401473857143,203.038332142857,0.000791266037831695,105.704695402081,65.6286904414414
"Bile secretion",0.18666,0.156446,1.864233,35.669477,37.819428,41.68661,0.000940898828083345,39.7645669892037,406.565723833333
"Biosynthesis of unsaturated fatty acids",1.05368175,0.81811975,2.5598865,142.67382075,147.78170525,148.6451075,5.25629494427044e-05,218.827390369846,201.3815955
"Carbon fixation in photosynthetic organisms",0.869773894736842,1.01392426315789,1.35840957894737,86.0724721578947,82.6093073684211,88.1626126842105,0.000332664026123333,82.015213899804,90.1810313333333
"Estrogen signaling pathway",1.58120885714286,2.10922771428571,3.10032128571429,125.32929,117.083077571429,117.698722285714,0.000367017045388497,97.6795774342552,63.8316665416667
"Exosome",1.73195455294118,1.53628954117647,3.60440485882353,171.300611941176,157.175120788235,172.606260070588,0.000747119465409023,52.6464853534371,741.558797666667
"Lysine biosynthesis",1.0678645,0.88610975,3.03016425,115.8620535,105.145462,115.36220825,0.000676913644340613,256.001135732687,486.426478
"MAPK signaling pathway",1.6716305,2.16789766666667,3.18491133333333,133.7593725,124.886698666667,125.067742333333,0.000418024539225271,4957.96345404573,109.435474666667
"Mitochondrial biogenesis",2.67228914285714,2.69061328571429,7.80906742857143,228.035967685714,231.089779428571,222.202378771429,1.35341055160056e-06,60.1195234351112,31.1965016666667
"One carbon pool by folate",0.6903694,0.5005202,2.1117014,90.691742,89.296834,95.1584084,0.00014419057260643,65.4470036046333,160.065675583333
"Others",1.592306,0.518945,4.209613,114.4531,105.255391,107.368918,0.000139763681501291,96.306945009308,201.408186791667
"Polyketide sugar unit biosynthesis",0.154129,0.996048,2.362481,47.423183,46.129057,53.139148,0.000960775176700708,44.9340012773937,52.0140421666667
"Retrograde endocannabinoid signaling",0.516123,0.36584375,0.577696,42.8957685,44.51048825,46.203622,0.00044641678061196,60.2946680945645,47.2557853333333
"Valine, leucine and isoleucine degradation",1.13283716666667,1.50662233333333,3.9072605,149.812163166667,140.613338166667,156.571619833333,0.000694138879950792,129.235848738614,89.4623531666667
