"level3_pathway_name","Dark1mean","Dark2mean","Dark3mean","Blue1mean","Blue2mean","Blue3mean","pvalue_Blue","BvsD_SubCell_dgi","Blue"
"Apoptosis - fly",0.264678454545455,0.399724090909091,0.201932090909091,16.4877391818182,18.3250992727273,17.5020951818182,0.000847233619619787,29.4671778153362,23.4804123333333
"Benzoate degradation",0.262706714285714,0.237254571428571,0.448444285714286,9.96410814285714,10.0738585714286,10.0587792857143,1.0318903552824e-06,158.311545237569,14.4553955333333
"Carbapenem biosynthesis",0.2828505,0.0370395,0.912145,19.571476,17.508016,19.0159555,0.00022736933191658,29.4384643978736,20.0108275
"Energy metabolism",0.990260333333333,0.787771833333333,0.685226333333333,12.7586596666667,13.6938763333333,13.7440026666667,0.000280789517297008,55.0284019997589,18.128016952381
"Enzymes with EC numbers",0.388875703125,0.49950753125,0.626279953125,18.216882453125,16.919251296875,16.40396971875,0.000887795561249237,34.0937185994324,16.4825552222222
"Exopolysaccharide biosynthesis",0.439964333333333,0.238064333333333,0.772316666666667,15.670696,16.2616936666667,17.515276,0.000527546913472834,53.1975965545708,21.6119517142857
"Folate biosynthesis",0.146773125,0.271073625,0.414626875,15.12522325,16.02321925,15.588127875,9.63319714777237e-05,78.3844962738018,16.29592775
"Galactose metabolism",0.223728571428571,0.226578285714286,0.276982785714286,15.366315,15.0564285714286,16.1822339285714,0.00046702996990627,19.5004585893289,16.9169493333333
"Porphyrin metabolism",0.47996912,0.46077736,0.62580536,17.93712484,18.28814144,19.0658334,0.000257244401511468,16.0921112094613,14.7036284259259
"Pyrimidine metabolism",0.39170152173913,0.394722043478261,0.391597173913043,13.4643182608696,13.5617082173913,13.5451272608696,5.12405756171476e-06,71.2073683578367,14.5892721304348
"RIG-I-like receptor signaling pathway",0.243444666666667,0.0531276666666667,0.170403666666667,16.346803,16.152497,16.830409,5.48099494306202e-05,18.8505425770947,14.9480510512821
"Secretion system",0.697064846153846,1.11740684615385,0.56446,15.0772492307692,14.4267781538462,15.3401257692308,1.0055119152219e-05,20.3365438573581,17.766586
"Streptomycin biosynthesis",0.172700428571429,0.130362142857143,0.152604571428571,17.7989652857143,16.0504667142857,16.8623024285714,0.00090264024344498,74.0783385616131,12.8795946666667
"Sulfur relay system",0.334851285714286,0.746240428571429,0.785312714285714,20.2446354285714,18.2889,18.5077785714286,0.000666786241688868,18.4297980763185,15.8089468666667
"Terpenoid backbone biosynthesis",0.4970805,0.44925625,0.65467055,11.92487065,12.40698595,11.18752815,0.000720607433346532,83.3320720849852,12.79026475
