"level3_pathway_name","Dark1mean","Dark2mean","Dark3mean","Blue1mean","Blue2mean","Blue3mean","pvalue_Blue","BvsD_SubCell_dgi","Blue"
"alpha-Linolenic acid metabolism",6.00564,2.065614,6.7973395,41.172898,47.7221735,45.284451,0.000122820431075778,10.4701900783903,59.1784473333333
"Biosynthesis of unsaturated fatty acids",1.989551,1.821476,4.335154,39.7523535,30.9948695,29.356754,0.00784034946110827,7.26110686494686,54.7446848666667
"Legionellosis",5.70004783333333,7.35355016666667,4.41539966666667,50.6870463333333,61.5956906666667,46.075983,0.00781257453225188,10.1176264770075,33.0612213333333
"Lipid and atherosclerosis",37.0668872,25.1600086,38.2130254,163.0268928,188.3127288,187.901351,0.000635585347651673,8.59036717133346,51.113353
"Nitrogen metabolism",20.195677625,28.2826803125,30.536030375,158.214284375,215.8225628125,180.021580375,0.00918749025401793,7.01216217875707,47.4632291515152
"NOD-like receptor signaling pathway",5.84095575,8.309426,4.671908,74.6481695,65.18049675,59.0851215,0.00391102101886832,12.4514696358934,39.033795969697
"Pathways in cancer",5.503903,5.97490766666667,5.28545633333333,84.6952283333333,74.6271993333333,64.3471536666667,0.00712211592017922,8.66220034935561,61.3450756666667
"Plant-pathogen interaction",4.203392,6.606731,4.2892402,55.524184,52.5485534,45.0072226,0.00297275812714822,9.69819499987383,33.1804808888889
"Prion disease",18.9023023333333,14.0995883333333,21.4715003333333,96.4178953333333,100.174660666667,91.9531716666667,1.83670153173302e-05,25.1464886552157,96.2116223333333
"Thiamine metabolism",3.77695666666667,3.94932216666667,5.61484766666667,35.627905,46.4839973333333,43.7716841666667,0.00614370605555863,6.62263501936662,63.6550231833333
"Tuberculosis",18.0185295714286,13.9261807142857,13.9211474285714,69.523496,66.8756062857143,70.7937234285714,9.3440740933738e-06,6.5416077805139,66.7599006666667
