"Definition","White1mean","White2mean","White3mean","Blue1mean","Blue2mean","Blue3mean","pvalue_Blue","Blue_vs_White","Blue"
"23S rRNA (pseudouridine1915-N3)-methyltransferase [EC:2.1.1.177]",30.4755,26.011,25.0365,180.79,178.816,197.6085,0.000685542912394309,6.83505881775695,185.738166666667
"3-oxoacid CoA-transferase subunit A [EC:2.8.3.5]",9.7,7.015,11.622,208.431,224.165,228.367,0.000500163699239195,23.3250873416381,220.321
"4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]",4.88,4.599,5.742,51.244,51.16,53.41,1.95112658875001e-05,10.2367781354707,51.938
"alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase [EC:3.6.1.63]",6.712,3.373,3.593,31.387,28.358,31.834,7.15704581310731e-05,6.69535019739728,30.5263333333333
"amidophosphoribosyltransferase [EC:2.4.2.14]",26.91,19.989,25.193,201.456,184.604,210.639,0.00099927818670863,8.27691005936858,198.899666666667
"aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C [EC:6.3.5.6 6.3.5.7]",1.781,0.242,0,46.005,47.627,44.228,2.13341014419457e-05,68.1463173504696,45.9533333333333
"carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]",25.762,16.938,16.398,153.115,149.04,142.729,7.32809238312073e-06,7.52790280550949,148.294666666667
"CBS domain-containing protein",2.282,1.3645,2.1445,29.886,26.626,28.3415,0.000541801221368974,14.6526506648247,28.2845
"colicin import membrane protein",9.662,4.5585,5.0455,35.534,44.1755,40.561,0.000787195599124972,6.24262950275096,40.0901666666667
"conjugal transfer pilin signal peptidase TrbI",1.104,0,1.053,51.962,56.39,54.425,0.000241198786332429,75.4645340751043,54.259
"cytochrome bd ubiquinol oxidase subunit I [EC:7.1.1.7]",3.33333333333333,2.64533333333333,2.93166666666667,93.2943333333333,87.3973333333333,93.451,0.000452045919116357,30.766825034604,91.3808888888889
"dipeptide transport system permease protein",7.7825,5.9815,6.89225,67.1925,63.8745,62.016,0.000204834416454065,9.34743721633888,64.361
"DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]",11.8065,8.46,8.3165,57.9525,59.7955,65.819,0.000376097147823183,6.42224399118357,61.189
"F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1]",15.5683333333333,11.0653333333333,12.7736666666667,109.302333333333,102.816,114.956333333333,0.000382965948401108,8.2998426688772,109.024888888889
"glutamate dehydrogenase (NADP+) [EC:1.4.1.4]",4.375,2.613,4.402,51.344,44.884,48.713,0.000752033049361667,12.7252853380158,48.3136666666667
"glutathione S-transferase [EC:2.5.1.18]",7.8715,6.0185,6.88225,209.20075,208.12375,218.10925,0.000164618926844972,30.5905113793643,211.81125
"GntR family transcriptional regulator, trigonelline degradation regulator",96.68,74.856,58.834,528.212,570.408,565.235,1.37454324370365e-05,7.22253331596996,554.618333333333
"holliday junction DNA helicase RuvB [EC:5.6.2.4]",3.35033333333333,2.917,3.16366666666667,35.364,38.4763333333333,36.233,0.000627542379797158,11.6714381649171,36.6911111111111
"isochorismate pyruvate lyase [EC:4.2.99.21]",11.34,6.639,7.264,162.5515,183.651,174.1995,0.000791603506690219,20.6156954403201,173.467333333333
"large subunit ribosomal protein L7/L12",223.72325,182.00925,209.117,1098.131,1161.30475,1229.52875,0.000626892619524006,5.67450164633784,1162.98816666667
"membrane glycosyltransferase [EC:2.4.1.-]",8.502,6.585,7.542,69.833,66.362,71.592,0.000158870647279235,9.18233240532061,69.2623333333333
"multicomponent K+:H+ antiporter subunit G",3.322,3.74,1.949,41.232,44.303,42.895,1.7111919277848e-05,14.2525801797803,42.81
"NADH-quinone oxidoreductase subunit J [EC:7.1.1.2]",26.113,23.412,25.5975,128.4865,132.1305,126.638,1.22364559064986e-05,5.15498019900829,129.085
"phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2]",12.363,9.297,11.84,90.992,98.09,96.85,0.000105249606292263,8.53528358208955,95.3106666666667
"PLP dependent protein",13.9175,8.214,11.5355,108.9545,114.256,119.426,6.43678078382917e-05,10.1772210176137,114.212166666667
"preprotein translocase subunit SecA [EC:7.4.2.8]",16.5383333333333,13.851,15.74,130.277,127.485333333333,139.628,0.000612246129860777,8.61469925138018,132.463444444444
"preprotein translocase subunit SecF",23.545,15.274,20.061,127.719,118.521,127.881,1.9288198272816e-05,6.35395720108696,124.707
"purine-nucleoside phosphorylase [EC:2.4.2.1]",2.063,1.816,2.958,18.889,21.989,20.864,0.000789093976440129,9.03056896299547,20.5806666666667
"putative acetyltransferase [EC:2.3.1.-]",2.77425,2.12275,2.499,95.7055,95.73025,87.91775,0.000777036922220597,37.7708896700919,93.1178333333333
"putative multiple sugar transport system permease protein",1.361,0.931,1.07,35.976,35.261,33.031,0.000556573126552693,31.0136823319453,34.756
"ribose 5-phosphate isomerase A [EC:5.3.1.6]",3.981,4.528,2.34,31.888,32.007,29.182,3.94229793509097e-05,8.57931606599687,31.0256666666667
"ribose transport system ATP-binding protein [EC:7.5.2.7]",0.8305,0,0.413,47.7655,51.3225,48.281,0.000306031079776105,118.511459589867,49.123
"ribose transport system substrate-binding protein",2.046,3.364,3.071,31.454,31.844,28.47,0.000430976289896175,10.820422120033,30.5893333333333
"ribosome-dependent ATPase",4.6745,4.496,4.7065,75.7315,70.7435,77.327,0.000792712019215322,16.1275491820999,74.6006666666667
"thiaminase (transcriptional activator TenA) [EC:3.5.99.2]",10.237,7.689,9.01233333333333,106.804666666667,101.746666666667,112.178333333333,0.000518569912368094,11.9060694178061,106.909888888889
"thiazole synthase [EC:2.8.1.10]",5.676,3.758,4.002,74.555,72.94,79.804,0.00035762684759592,16.9171628460851,75.7663333333333
"topoisomerase IV subunit A [EC:5.6.2.2]",9.2985,8.2365,8.939,110.7155,120.869,113.949,0.000705768068766434,13.0518055450631,115.177833333333
