"Definition","White1mean","White2mean","White3mean","Blue1mean","Blue2mean","Blue3mean","pvalue_Blue","Blue_vs_White","Blue"
"[ribosomal protein S18]-alanine N-acetyltransferase [EC:2.3.1.266]",99.916,98.738,91.769,35.025,46.93,47.789,0.000967982725774455,0.44674147708687,43.248
"2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]",366.041,378.541,385.198,59.371,56.925,77.592,4.28974691483509e-06,0.171615712793641,64.6293333333333
"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]",343.036,332.111,332.036,46.722,53.484,66.349,1.08592387936299e-05,0.165367167634879,55.5183333333333
"23S rRNA (adenine2030-N6)-methyltransferase [EC:2.1.1.266]",325.929,340.907,327.095,31.254,61.55,22.5,0.000407282274650816,0.116008052872886,38.4346666666667
"4-hydroxymandelate oxidase [EC:1.1.3.46]",127.245,120.901,116.823,21.843,32.89,29.349,3.13830915409955e-05,0.23038121045897,28.0273333333333
"acetyl-CoA synthetase [EC:6.2.1.1]",114.042666666667,106.322333333333,115.046,27.5606666666667,42.4666666666667,39.5813333333333,0.000469452739690809,0.326789123393886,36.5362222222222
"aconitate hydratase [EC:4.2.1.3]",294.726,263.979,302.2455,90.2825,84.3755,126.2215,0.000471006329916393,0.349473634082331,100.293166666667
"adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase [EC:2.7.1.156 2.7.7.62]",74.487,74.642,85.01,18.756,22.128,28.622,0.000320494167716672,0.296857849397153,23.1686666666667
"adenosylhomocysteinase [EC:3.13.2.1]",138.47,123.004,138.572,46.639,41.63,55.38,0.000282855749443924,0.359081205661349,47.883
"aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]",119.223,107.909,130.264,44.62,32.402,52.425,0.000989686121043599,0.362194876271699,43.149
"ATP-dependent RNA helicase DeaD [EC:3.6.4.13]",88.5885,96.6305,92.6655,28.826,25.7775,24.7655,0.000128319457364068,0.285618665308788,26.4563333333333
"basic membrane protein A and related proteins",213.719,188.018,201.103,60.789,43.838,79.683,0.000658260428593665,0.305736182071528,61.4366666666667
"cold shock protein",148.3545,137.28,148.306,28.367,39.7705,48.493,0.000304829865412784,0.268770718566255,38.8768333333333
"dihydrolipoamide dehydrogenase [EC:1.8.1.4]",78.1788571428571,75.0467142857143,77.5224285714286,18.963,28.3277142857143,23.4377142857143,0.00097819638607062,0.306518056804083,23.5761428571429
"DNA topoisomerase I [EC:5.6.2.1]",251.117,242.572,258.579,42.551,27.149,43.319,8.13326026004618e-06,0.150237681251894,37.673
"DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]",121.617,125.458666666667,131.800666666667,29.5183333333333,14.1633333333333,35.2936666666667,0.000967397567199827,0.208446203642525,26.3251111111111
"dTMP kinase [EC:2.7.4.9]",79.821,87.902,82.826,32.305,19.037,24.046,0.000611578170150957,0.300891242830744,25.1293333333333
"elongation factor P",199.712,188.376,218.158,58.5365,63.4675,75.001,0.000651923787626244,0.324958845089287,65.6683333333333
