"Definition","White1mean","White2mean","White3mean","Blue1mean","Blue2mean","Blue3mean","pvalue_Blue","Blue_vs_White","Blue"
"16S rRNA (cytosine967-C5)-methyltransferase [EC:2.1.1.176]",102.50775,82.43075,75.112,26.93625,34.19175,27.701,0.00280111361897198,0.341583653944138,29.6096666666667
"acetyl-CoA synthetase [EC:6.2.1.1]",7.246,9.04811111111111,9.03588888888889,2.28411111111111,3.44011111111111,2.32666666666667,0.00247856130719692,0.365538326355082,37.02425
"CTP synthase [EC:6.3.4.2]",12.15575,13.3185,14.09725,0.8885,1.1795,0,0.000355601221896468,0.314919627628658,22.0336666666667
"DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]",14.17,14.263,13.084,0,0,0,0.00282018928161095,0.332609774587817,20.3283333333333
"erythrin-vacuolar iron transport family protein",13.964,17.359,15.32,0,0,0,0.00400289280914146,0.196273900592633,115.099333333333
"excinuclease ABC subunit B",78.858,77.9565,86.7845,10.6375,12.0755,13.341,0.000824475682626306,0.154606506930993,35.4376666666667
"glycine hydroxymethyltransferase [EC:2.1.2.1]",20.4483333333333,21.188,21.212,0.300333333333333,0.728333333333333,0.217333333333333,1.91836255063227e-06,0.386409372725053,175.693
"GTPase [EC:3.6.5.-]",12.1535,10.9875,11.118,0,0,1.447,0.00150928988045047,0.222407377762854,94.9386666666667
"outer membrane protein insertion porin family",47.692,50.405,51.9816666666667,0.695333333333333,3.81966666666667,0.959666666666667,1.12763546516064e-05,0.331087917503603,78.826
"P-type Cu2+ transporter [EC:7.2.2.9]",29.706,28.2136,28.868,0.1868,0.6834,0.2908,4.95256444522752e-05,0.39265486837292,41.5046666666667
"peptidylprolyl isomerase [EC:5.2.1.8]",39.307,41.857,41.561,1.769,2.5685,0,3.81960488060274e-06,0.368246545562602,31.394
"prolyl oligopeptidase [EC:3.4.21.26]",8.202,7.713,6.603,0,0,0,0.00394842685913345,0.33868606084036,23.362
"S-adenosylmethionine synthetase [EC:2.5.1.6]",71.482,69.336,75.545,1.251,5.625,0.955,1.08403390939394e-05,0.138875617473916,21.849
"toxin ParE1/3/4",29.324,39.083,34.771,5.123,4.904,0,0.00179003410590186,0.350216276834348,29.1473333333333
"transaldolase [EC:2.2.1.2]",8.626,9.1085,8.021,0.5425,1.906,0,0.00102670215235241,0.366176812258721,39.6643333333333
"trehalose 6-phosphate phosphatase [EC:3.1.3.12]",14.324,14.683,12.623,0,1.604,0,0.000106594910646027,0.10817340201505,23.8895333333333
