"Definition","White1mean","White2mean","White3mean","Blue1mean","Blue2mean","Blue3mean","pvalue_Blue","Blue_vs_White","Blue"
"(2S)-methylsuccinyl-CoA dehydrogenase [EC:1.3.8.12]",115.644,92.09,122.809,30.336,27.777,41.107,0.00637080662428611,0.300172746057245,33.0733333333333
"16S rRNA (guanine527-N7)-methyltransferase [EC:2.1.1.170]",66.585,66.114,54.989,37.995,19.571,28.167,0.00856324746292533,0.456784663910319,28.5776666666667
"23S rRNA (adenine2503-C2)-methyltransferase [EC:2.1.1.192]",113.7305,102.496,118.833,31.8045,26.661,40.5615,0.000280663158027608,0.295550491778326,33.009
"23S rRNA (uracil1939-C5)-methyltransferase [EC:2.1.1.190]",190.157,181.03,151.577,64.327,92.418,52.576,0.00325075794169861,0.400412040614886,69.7736666666667
"23S rRNA pseudouridine2605 synthase [EC:5.4.99.22]",71.011,67.77,73.309,21.609,17.572,26.728,0.000325384018359478,0.310759583195813,21.9696666666667
"3-dehydroquinate synthase [EC:4.2.3.4]",9.525,10.3255,10.4955,0,0.7905,0,1.82094105698861e-05,0.378069739168877,45.6103333333333
"3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]",14.384,19.229,19.382,0,2.859,0,0.00235510585860816,0.139876379619167,51.619
"3-hydroxybutyryl-CoA dehydratase [EC:4.2.1.55]",36.824,49.731,41.209,4.539,0.674,0,0.00403611945481091,0.253528471696526,35.1656666666667
"3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]",53.9905,48.9705,52.318,32.9645,22.0355,35.6595,0.0250019846620854,0.214692625186051,40.6766666666667
"3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]",13.896,15.247,11.927,0,1.511,0.197,0.00135691614899334,0.378800838074021,38.0876666666667
"4-hydroxyphenylpyruvate dioxygenase [EC:1.13.11.27]",77.2995,74.9815,77.5635,23.937,16.5845,23.629,0.000708957798271542,0.279103915908364,21.3835
"7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]",65.215,60.442,74.04,26.448,10.158,24,0.00243654475897458,0.303489787027346,20.202
"A/G-specific adenine glycosylase [EC:3.2.2.31]",94.042,123.72,99.842,29.385,68.895,37.849,0.0183073469508538,0.428612360045843,45.3763333333333
"acetolactate synthase I/II/III large subunit [EC:2.2.1.6]",11.618,14.433,12.562,0.4,0.535,0,0.00329213225079616,0.280207947183534,31.747
"acetyl-CoA C-acetyltransferase [EC:2.3.1.9]",110.258,98.765,120.086,62.391,78.1,72.713,0.00900728355754114,0.405455969744533,47.1003333333333
"acetyl-CoA synthetase [EC:6.2.1.1]",10.976,13.744,11.744,0,0.418,0.03,0.00388955455421081,0.249218827182274,29.4306666666667
"aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]",60.866,76.181,69.543,0.667,5.369,0.97,0.00200630910817418,0.471038278750825,37.5973333333333
"adenine/guanine/hypoxanthine permease",16.516,14.486,13.44,6.408,3.835,4,0.0012400726890808,0.466468673163929,148.295833333333
"ADP-dependent NAD(P)H-hydrate dehydratase / NAD(P)H-hydrate epimerase [EC:4.2.1.136 5.1.99.6]",118.658,122.986,98.25,35.459,35.842,23.94,0.00252438060741574,0.309461535647657,56.3983333333333
"ammonium transporter, Amt family",81.5425,83.37,85.482,3.84225,5.259,5.9395,7.58014451617244e-06,0.452172225456763,54.3646666666667
"anthranilate synthase component II [EC:4.1.3.27]",8.887,9.27,12.927,0,2.115,0.727,0.00806194189927478,0.27310251976185,22.5836666666667
"ApaG protein",22.192,22.414,27.133,0,0.837,0,0.00373742160696128,0.314242042231327,33.2363333333333
