"Definition","White1mean","White2mean","White3mean","Blue1mean","Blue2mean","Blue3mean","pvalue_Blue","Blue_vs_White","Blue"
"2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]",125.558,145.436,127.689,275.528,302.335,224.67,0.0211292913783667,2.01296017136422,267.511
"aconitate hydratase [EC:4.2.1.3]",161.68,191.91,169.681,397.857,495.701,323.186,0.0398971719996907,2.04806682768119,342.020333333333
"cell division protein FtsW",45.2835,46.6575,49.2165,55.7665,61.2365,64.9935,0.0230678386522563,2.03086787024128,76.2313333333333
"cysteinyl-tRNA synthetase [EC:6.1.1.16]",36.379,38.5335,32.0225,55.725,69.5,51.9095,0.0362989036841105,2.37910112359551,14.116
"drug/metabolite transporter, DME family",18.493,10.701,12.779,47.34,42.537,57.258,0.00529235343048169,2.0737219155387,105.558666666667
"elongation factor G",471.385,542.57,463.684,851.196,1035.427,728.556,0.0425466807867975,2.27396348421453,15.942
"formate dehydrogenase major subunit [EC:1.17.1.9]",6.361,6.335,5.367,26.231,26.498,18.758,0.0183421508451911,2.74197433883215,17.4526666666667
"GTPase",69.667,73.165,62.209,131.823,169.286,114.335,0.044791732334024,2.42883156678555,64.4676666666667
"leucyl-tRNA synthetase [EC:6.1.1.4]",54.744,61.82,49.203,97.733,112.176,79.471,0.0355255044852573,3.95764823119083,23.829
"Lrp/AsnC family transcriptional regulator",118.204,91.571,102.113,50.06,71.15,62.925,0.0140083088243297,2.10213862765587,50.2936666666667
"Na+:H+ antiporter, NhaA family",21.593,23.944,20.339,56.984,59.9,49.137,0.00512666985785517,2.75382182393253,17.4133333333333
"NADH-quinone oxidoreductase subunit M [EC:7.1.1.2]",56.234,59.941,51.813,89.607,103.18,79.031,0.0283981120354918,2.35067578606216,177.458
"NitT/TauT family transport system permease protein",12.158,9.619,9.743,18.856,21.919,21.273,0.00129946345500651,2.19459713641744,90.2286666666667
"P-type Cu+ transporter [EC:7.2.2.8]",912.736,1038.96,950.229,1574.723,1621.664,1291.382,0.0251877976638405,2.18551809147732,66.7843333333333
"putative ABC transport system permease protein",11.995,10.29,9.474,37.528,42.165,24.773,0.0406733900026731,2.58486680395934,25.94
"pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5]",91.217,103.283,87.454,199.404,203.687,141.169,0.042944054766976,2.10688589852578,33.871
"replicative DNA helicase [EC:5.6.2.3]",56.473,59.869,54.971,95.03,118.056,85.85,0.0443758409877515,4.70701432855715,18.8343333333333
"ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]",34.607,38.6,34.249,57.068,68.895,58.531,0.0121165882655611,2.08183811129848,41.151
"sulfate/thiosulfate transport system ATP-binding protein [EC:7.3.2.3]",7.166,7.749,9.769,20.975,22.942,16.076,0.0182714186388012,3.8190391105817,25.6486666666667
"tRNA uridine 5-carboxymethylaminomethyl modification enzyme",25.985,34.994,29.325,65.545,68.547,44.425,0.0482937723961261,3.64086298213591,20.279
"voltage-gated potassium channel",27.603,35.728,31.692,71.185,74.869,65.668,0.000434077584882422,2.23214196600561,74.5483333333333
