"id","tSNE1","tSNE2","D2A","D3A","D1A","B2A","B1A","B3A","Cluster","ko_name","ko","ko_des","KEGG_ec","KEGG_En_description","KEGG_Modules","KEGG_Mo_description","level1_pathway_name","level2_pathway_name","level3_pathway_id","level3_pathway_name"
"B2A_k97_52673_1",-1.24291241687698,13.085590156477,0.123045805560352,0.228605272707552,0.265402657155411,0.424173114577786,0.409686053909365,0.229347389991631,"Cluster 6","-","-","-","-","-","-","-","-","-","-","-"
"B3A_k97_3706_1",4.37350764681035,14.2018328353311,0.0787393213527442,0.109468948126764,0.0838754030122217,0.18703953696242,0.0730087836122865,1.13285054220963,"Cluster 6","pstu:UIB01_00340","K01854","UDP-galactopyranose mutase [EC:5.4.99.9]","5.4.99.9","Isomerases","-","-","Metabolism;Metabolism;Metabolism;Metabolism","Glycan biosynthesis and metabolism;Carbohydrate metabolism;Global and overview maps;Carbohydrate metabolism","ko00541;ko00520;ko01100;ko00052","O-Antigen nucleotide sugar biosynthesis;Amino sugar and nucleotide sugar metabolism;Metabolic pathways;Galactose metabolism"
"D2A_k97_33001_1",0.98538870307831,11.4298070791756,0.23034370232785,0.223397267288815,0.342353018546116,0.329741560955433,0.334395630416784,0.298990918587597,"Cluster 6","-","-","-","-","-","-","-","-","-","-","-"
"D3A_k97_56100_1",-3.38992907022661,10.8666605058763,0.173565512930209,0.364010074561147,0.348035223291699,0.41931101179096,0.343717307611081,0.343960014038619,"Cluster 6","-","-","-","-","-","-","-","-","-","-","-"
"G2A_k97_10683_11",-1.64884715461585,14.4864738018449,0,0.247918336413676,0.226977268894585,0.333716576897781,0.393521535544526,0.299290988851153,"Cluster 6","cprv:CYPRO_0828","K02954","small subunit ribosomal protein S14","-","-","-","-","Genetic Information Processing","Translation","ko03010","Ribosome"
"G2A_k97_10688_13",-3.81476134972274,13.8747005106257,0.0590219632198195,0.354038040840111,0.408264930759001,0.252467428102483,0.416433673851229,0.279170570742555,"Cluster 6","cprv:CYPRO_1946","K05808","putative sigma-54 modulation protein","-","-","-","-","-","-","-","-"
"G2A_k97_41849_6",-1.16770300624423,11.9081923709098,0.126811228558107,0.218022050061822,0.389819704454146,0.428700015703604,0.352018943589829,0.243102031929128,"Cluster 6","-","-","-","-","-","-","-","-","-","-","-"
"G2A_k97_56630_7",-0.0885816165170497,11.0750452642425,0.193945047029188,0.270911211167051,0.331699026591268,0.375118458204192,0.340925437171229,0.254584075173579,"Cluster 6","dol:Dole_3007","K01996","branched-chain amino acid transport system ATP-binding protein","-","-","-","-","Cellular Processes;Environmental Information Processing","Cellular community - prokaryotes;Membrane transport","ko02024;ko02010","Quorum sensing;ABC transporters"
"R3A_k97_17231_3",-3.1928614392327,12.18979375826,0.129005176852508,0.346220985605603,0.349401202171723,0.408418830826422,0.447936839562044,0.282920058097752,"Cluster 6","cbaa:SRAA_0573","K07658","two-component system, OmpR family, alkaline phosphatase synthesis response regulator PhoP","-","-","-","-","Environmental Information Processing","Signal transduction","ko02020","Two-component system"
"Y2A_k97_53709_1",2.78869304865125,14.1324917221501,0.10999352027468,0.191517752908858,0.431202926875688,0.309779811654751,0.1022432573592,0.482973763933216,"Cluster 6","-","-","-","-","-","-","-","-","-","-","-"
"Y3A_k97_31312_1",3.30117797100809,13.0428965874897,0.252773477200664,0.139758106580305,0.313425957577876,0.415611488731814,0.320326961158928,0.55880018176951,"Cluster 6","psa:PST_0389","K07660","two-component system, OmpR family, response regulator PhoP","-","-","M00744","Cationic antimicrobial peptide (CAMP) resistance, protease PgtE","Human Diseases;Environmental Information Processing","Drug resistance: antimicrobial;Signal transduction","ko01503;ko02020","Cationic antimicrobial peptide (CAMP) resistance;Two-component system"
