"id","tSNE1","tSNE2","D2A","D3A","D1A","B2A","B1A","B3A","Cluster","ko_name","ko","ko_des","KEGG_ec","KEGG_En_description","KEGG_Modules","KEGG_Mo_description","level1_pathway_name","level2_pathway_name","level3_pathway_id","level3_pathway_name"
"B1A_k97_15164_2",-2.92733077883372,-4.40503100299947,0.448974156346407,0.398697195387282,0.455371002543252,0.340320135618766,0.345072194749976,0.305426754705602,"Cluster 7","-","-","-","-","-","-","-","-","-","-","-"
"D1A_k97_15038_1",1.54815300097532,8.60106205893527,0.245142587515689,0.36411383500998,0.258378349279149,0.32128287453645,0.264403916438777,0.223050081906131,"Cluster 7","-","-","-","-","-","-","-","-","-","-","-"
"D2A_k97_13944_1",-4.14251433358419,-3.48436082843091,0.461511286809731,0.438050572985835,0.427637878719649,0.420844974914893,0.281055416796557,0.305426754705602,"Cluster 7","rbg:BG454_14210","K03574","8-oxo-dGTP diphosphatase [EC:3.6.1.55]","3.6.1.55","Hydrolases","-","-","-","-","-","-"
"D2A_k97_40800_2",-1.46863076928383,-3.52777677199798,0.417906467845467,0.494267582325956,0.383538968230947,0.34137211880366,0.371863826974859,0.336724015876355,"Cluster 7","-","-","-","-","-","-","-","-","-","-","-"
"D3A_k97_58436_1",3.07446251453499,9.57428518045268,0.17520695980898,0.263904882297002,0.221610461746792,0.349003838833404,0.128156131801497,0.220032074883101,"Cluster 7","-","-","-","-","-","-","-","-","-","-","-"
"G2A_k97_10777_23",3.4410692892278,7.57541463024169,0.311931725842428,0.303267610076334,0.32761049378257,0.258409601749677,0.191174340295657,0.285558910268829,"Cluster 7","rbar:AWN76_000820","K04078","chaperonin GroES","-","-","-","-","-","-","-","-"
"G2A_k97_1758_21",-7.27501794711858,-3.9155374647726,0.373886519323476,0.439368677348582,0.330025230943693,0.588341952972569,0.37968229087035,0.39389502978225,"Cluster 7","halk:CUU95_17500","K09916","uncharacterized protein","-","-","-","-","-","-","-","-"
"G2A_k97_19898_3",-3.16103663616057,-5.10109226392635,0.433331221426112,0.444582138050914,0.452568963324368,0.359455794811684,0.364379103792457,0.275073328204688,"Cluster 7","-","-","-","-","-","-","-","-","-","-","-"
"G2A_k97_273_4",0.665208372475287,9.74928044258137,0.243186879228407,0.270911211167051,0.215785749667367,0.346269604601395,0.351075724912282,0.221229211677376,"Cluster 7","-","-","-","-","-","-","-","-","-","-","-"
"G2A_k97_41917_2",8.15059498293807,7.52010797350645,0.173565512930209,0.354038040840111,0.312409962749673,0.201754395129585,0.38610630913061,0.156793947489978,"Cluster 7","abre:pbN1_15820","K02806","nitrogen PTS system EIIA component [EC:2.7.1.-]","-","-","-","-","Environmental Information Processing","Membrane transport","ko02060","Phosphotransferase system (PTS)"
"G2A_k97_50419_11",0.314342326660191,8.52444862470724,0.245142587515689,0.33582254970967,0.330025230943693,0.374628505613813,0.325856838600042,0.186681401892659,"Cluster 7","cprv:CYPRO_2712","K02784","phosphocarrier protein HPr","-","-","-","-","Environmental Information Processing","Membrane transport","ko02060","Phosphotransferase system (PTS)"
"G2A_k97_51768_12",-5.61898961705429,-4.70676925964374,0.448840943772893,0.414300617351307,0.375613604860753,0.473509785618547,0.390803094709009,0.27139997793126,"Cluster 7","-","-","-","-","-","-","-","-","-","-","-"
"G2A_k97_59081_36",-4.75300226684721,8.96324950384456,0.167299831441528,0.372078569615464,0.125731946514128,0.513536930876351,0.303162548904113,0.262879858193204,"Cluster 7","-","-","-","-","-","-","-","-","-","-","-"
